姓名,语文,数学,英语,物理,化学,生物,总分
李志强,105,121,113,84,94,86,603
王建国,108,105,132,95,92,85,617
张沐阳,105,90,101,78,85,77,536
刘哲羽,103,110,105,101,83,74,576
陈修远,125,125,135,98,89,81,653
杨泽安,132,139,122,107,94,75,669
赵靖尧,98,90,134,78,78,78,556
黄杰,98,92,101,78,84,67,520
周伟明,112,147,138,92,78,76,643
吴嘉豪,107,120,124,94,80,81,606
郑文涛,114,90,117,90,84,86,581
何梓睿,109,119,133,101,86,86,634
徐俊熙,98,90,119,96,76,78,557
孙宏斌,106,90,137,94,88,71,586
胡宇帆,122,104,115,90,94,86,611
郭睿,103,133,101,105,80,86,608
许一墨,98,120,110,82,76,82,568
冯锦程,125,112,110,93,86,86,612
唐逸,130,112,142,89,92,80,645
程明哲,110,102,101,103,88,71,575
董恒,105,147,141,100,90,86,669
曹霖瑜,117,128,140,90,94,77,646
袁启明,108,92,101,78,81,70,530
彭炜钧,106,105,121,83,94,86,595
蔡景瑞,107,119,117,79,94,77,593
潘文轩,98,91,101,103,78,67,538
丁佑,125,133,111,87,76,67,599
贺梓骏,121,107,123,97,87,86,621
曾浩铭,113,105,142,92,94,79,625
沈瑞,132,142,125,93,86,86,664
钟珈铭,112,101,122,92,94,68,589
姜嘉熙,98,90,101,92,78,79,538
谢卓然,98,90,103,81,86,81,539
戴景,114,103,142,100,94,77,630
崔家豪,107,118,122,101,83,80,611
范天成,132,90,111,83,94,76,586
汪昶林,111,135,101,94,94,82,617
邓彦澈,121,97,107,90,94,86,595
邵景瑞,120,110,140,91,94,86,641
余皓,127,147,133,89,88,86,670
吕翊,98,90,101,78,91,74,532
薛泽霖,113,90,133,78,94,81,589
邹铭,116,130,142,105,94,86,673
阎凯,102,105,135,101,82,86,611
魏嘉晟,101,100,123,101,86,74,585
方铭泽,103,91,106,105,88,86,579
贺真,117,124,133,92,84,80,630
李思涵,108,117,136,94,76,86,617
王诗涵,102,145,142,86,76,74,625
张雨彤,112,98,130,102,94,84,620
刘梦瑶,98,90,107,95,76,67,533
陈欣怡,100,106,129,90,76,85,586
杨婉婷,108,145,142,95,80,86,656
赵依,121,111,140,93,90,67,622
黄欣妍,123,147,117,85,85,84,641
周子涵,132,127,101,99,89,73,621
吴清雅,111,118,128,82,92,78,609
郑佳怡,99,90,142,78,85,67,561
何婧怡,98,99,101,78,76,77,529
徐语嫣,127,108,125,96,89,78,623
孙可欣,99,137,102,78,76,85,577
唐雅婷,98,100,103,85,83,79,548
曹若曦,127,147,116,85,85,86,646
蔡嫣,121,147,101,86,79,86,620
丁瑶,106,142,118,82,86,77,611
曾语桐,122,146,142,106,88,86,690
袁怡,104,118,142,84,92,86,626
潘馨月,132,132,138,83,93,86,664
