姓名,语文,数学,英语,物理,化学,生物,总分
李志强,113,125,115,96,94,70,613
王建国,106,120,111,82,91,74,584
张沐阳,90,104,104,75,86,75,534
刘哲羽,101,99,100,75,94,72,541
陈修远,117,100,128,103,78,77,603
杨泽安,113,119,124,85,76,75,592
赵靖尧,99,89,131,75,83,74,551
黄杰,97,98,110,84,88,72,549
周伟明,101,86,103,93,81,76,540
吴嘉豪,99,110,140,75,94,85,603
郑文涛,120,94,106,94,85,80,579
何梓睿,99,128,124,84,88,85,608
徐俊熙,91,94,105,75,85,70,520
孙宏斌,102,103,99,76,76,70,526
胡宇帆,111,134,118,88,94,85,630
郭睿,132,115,106,96,94,85,628
许一墨,104,101,106,81,88,75,555
冯锦程,117,104,113,95,94,75,598
唐逸,112,101,124,79,94,85,595
程明哲,100,87,119,100,94,85,585
董恒,106,104,110,101,94,79,594
曹霖瑜,101,93,126,101,94,85,600
袁启明,105,94,104,75,76,71,525
彭炜钧,120,122,105,105,94,79,625
蔡景瑞,109,98,107,101,94,73,582
潘文轩,96,82,98,98,76,70,520
丁佑,115,99,123,75,86,80,578
贺梓骏,109,111,118,91,94,85,608
曾浩铭,122,123,128,79,93,71,616
沈瑞,120,108,137,102,94,85,646
钟珈铭,132,118,139,79,93,77,638
姜嘉熙,96,113,100,88,89,70,556
谢卓然,100,99,116,90,84,79,568
戴景,116,101,111,107,76,80,591
崔家豪,120,85,100,79,90,72,546
范天成,105,113,116,90,92,85,601
汪昶林,111,114,138,94,86,85,628
邓彦澈,124,92,99,91,94,83,583
邵景瑞,125,102,106,98,79,78,588
余皓,113,116,108,78,89,83,587
吕翊,94,93,111,95,76,78,547
薛泽霖,118,108,130,84,89,85,614
邹铭,126,110,105,107,76,85,609
阎凯,117,100,100,83,92,78,570
魏嘉晟,113,116,103,77,90,74,573
方铭泽,104,110,142,94,94,85,629
贺真,111,124,112,95,78,81,601
李思涵,104,98,120,100,84,80,586
王诗涵,108,108,98,83,80,72,549
张雨彤,120,116,113,107,94,80,630
刘梦瑶,103,86,101,76,86,70,522
陈欣怡,100,97,115,93,76,85,566
杨婉婷,106,114,116,85,91,72,584
赵依,103,93,130,105,81,85,597
黄欣妍,109,120,110,97,92,75,603
周子涵,116,128,108,79,89,81,601
吴清雅,120,115,121,75,94,84,609
郑佳怡,104,108,100,81,78,82,553
何婧怡,92,96,104,75,76,76,519
徐语嫣,109,106,136,92,90,85,618
孙可欣,104,91,98,76,77,71,517
唐雅婷,99,89,98,83,76,78,523
曹若曦,122,114,112,97,91,77,613
蔡嫣,124,133,114,102,94,85,652
丁瑶,118,105,118,107,94,85,627
曾语桐,130,94,119,102,88,85,618
袁怡,106,103,119,75,86,76,565
潘馨月,128,87,101,92,81,76,565
