姓名,语文,数学,英语,物理,化学,生物,总分
李志强,122,125,111,102,94,81,635
王建国,125,122,141,107,89,82,666
张沐阳,99,90,101,78,78,67,513
刘哲羽,98,108,109,105,78,67,565
陈修远,121,143,136,101,94,83,678
杨泽安,125,134,120,105,88,79,651
赵靖尧,98,90,124,78,76,67,533
黄杰,101,90,101,78,77,69,516
周伟明,108,147,140,105,82,80,662
吴嘉豪,105,131,131,90,81,79,617
郑文涛,112,107,118,107,89,78,611
何梓睿,117,106,129,107,88,78,625
徐俊熙,98,90,108,87,76,71,530
孙宏斌,98,90,131,86,81,67,553
胡宇帆,126,112,132,101,91,76,638
郭睿,113,138,111,98,85,74,619
许一墨,100,128,105,86,82,78,579
冯锦程,126,108,126,103,92,83,638
唐逸,127,122,136,88,94,75,642
程明哲,106,96,103,101,86,69,561
董恒,111,146,141,96,77,82,653
曹霖瑜,122,146,139,105,89,72,673
袁启明,102,90,101,78,78,67,516
彭炜钧,101,114,127,92,94,86,614
蔡景瑞,110,134,112,85,94,67,602
潘文轩,98,90,101,98,76,67,530
丁佑,123,131,112,83,78,77,604
贺梓骏,119,119,129,100,81,81,629
曾浩铭,119,99,131,90,88,82,609
沈瑞,121,147,134,91,94,80,667
钟珈铭,107,107,132,91,94,81,612
姜嘉熙,98,90,101,81,76,69,515
谢卓然,98,92,103,84,80,77,534
戴景,104,113,140,89,94,78,618
崔家豪,107,110,112,95,83,76,583
范天成,126,90,116,88,93,81,594
汪昶林,131,138,108,101,88,82,648
邓彦澈,115,95,124,102,94,82,612
邵景瑞,115,116,137,90,94,83,635
余皓,119,145,132,87,91,86,660
吕翊,98,90,103,78,81,70,520
薛泽霖,117,95,139,96,94,83,624
邹铭,116,136,140,102,87,80,661
阎凯,100,105,128,99,76,76,584
魏嘉晟,103,108,115,103,76,70,575
方铭泽,103,99,105,93,79,79,558
贺真,125,130,129,94,94,78,650
李思涵,105,109,127,102,76,77,596
王诗涵,100,145,140,88,82,70,625
张雨彤,112,104,124,96,94,81,611
刘梦瑶,98,90,101,87,76,67,519
陈欣怡,100,104,131,100,76,71,582
杨婉婷,106,145,132,93,76,84,636
赵依,116,117,125,105,91,85,639
黄欣妍,130,147,135,89,78,80,659
周子涵,118,133,110,101,94,68,624
吴清雅,107,116,124,82,94,72,595
郑佳怡,101,92,138,80,81,67,559
何婧怡,101,93,101,78,77,67,517
徐语嫣,128,124,139,95,94,81,661
孙可欣,98,135,103,78,76,83,573
唐雅婷,99,94,101,80,76,72,522
曹若曦,126,143,114,101,94,82,660
蔡嫣,123,147,101,104,92,82,649
丁瑶,111,147,134,98,90,75,655
曾语桐,128,147,123,100,82,86,666
袁怡,100,112,142,83,79,78,594
潘馨月,124,147,137,85,94,80,667
