姓名,语文,数学,英语,物理,化学,生物,总分
李志强,109,106,108,75,76,82,556
王建国,108,109,123,76,76,83,575
张沐阳,103,90,98,87,92,82,552
刘哲羽,102,81,109,85,91,85,553
陈修远,104,109,107,94,76,76,566
杨泽安,106,109,116,75,91,85,582
赵靖尧,103,94,98,75,76,82,528
黄杰,110,103,107,75,88,84,567
周伟明,93,83,111,102,76,86,551
吴嘉豪,100,102,114,75,76,81,548
郑文涛,102,100,106,75,83,82,548
何梓睿,111,120,98,75,90,82,576
徐俊熙,103,106,103,107,76,82,577
孙宏斌,108,111,98,75,76,81,549
胡宇帆,111,117,122,90,76,72,588
郭睿,99,111,118,89,98,84,599
许一墨,100,91,99,75,76,82,523
冯锦程,105,114,100,75,90,75,559
唐逸,101,81,110,93,76,82,543
程明哲,115,101,102,98,89,78,583
董恒,102,109,109,87,88,80,575
曹霖瑜,103,100,118,89,83,71,564
袁启明,97,101,113,87,76,81,555
彭炜钧,103,96,110,87,82,83,561
蔡景瑞,107,92,117,75,76,75,542
潘文轩,105,102,98,86,86,76,553
丁佑,107,85,113,78,81,80,544
贺梓骏,102,109,117,85,83,81,577
曾浩铭,108,103,124,75,82,81,573
沈瑞,108,92,120,93,76,81,570
钟珈铭,104,107,116,90,84,81,582
姜嘉熙,106,98,107,81,87,79,558
谢卓然,100,90,113,107,92,79,581
戴景,120,88,115,76,76,84,559
崔家豪,113,122,110,75,76,77,573
范天成,98,81,108,75,80,81,523
汪昶林,112,109,113,106,80,78,598
邓彦澈,104,113,136,75,76,82,586
邵景瑞,108,95,111,75,81,85,555
余皓,102,89,104,79,82,75,531
吕翊,100,90,98,94,76,79,537
薛泽霖,102,97,98,76,76,76,525
邹铭,110,103,107,75,83,78,556
阎凯,105,102,121,91,90,79,588
魏嘉晟,102,109,110,91,82,77,571
方铭泽,112,124,104,75,90,82,587
贺真,105,111,103,75,81,81,556
李思涵,100,96,102,82,88,81,549
王诗涵,115,99,120,83,81,67,565
张雨彤,100,98,123,75,89,77,562
刘梦瑶,105,104,113,75,80,79,556
陈欣怡,108,100,126,77,76,86,573
杨婉婷,121,106,110,75,87,70,569
赵依,99,94,98,75,94,75,535
黄欣妍,109,96,108,105,90,79,587
周子涵,108,96,109,86,94,77,570
吴清雅,105,105,98,77,76,62,523
郑佳怡,110,105,111,96,77,76,575
何婧怡,112,85,110,98,78,80,563
徐语嫣,113,81,108,75,76,86,539
孙可欣,111,105,103,75,83,80,557
唐雅婷,106,94,103,93,81,78,555
曹若曦,110,94,108,75,76,66,529
蔡嫣,108,81,108,94,76,72,539
丁瑶,98,101,117,75,90,78,559
曾语桐,111,91,127,100,94,80,603
袁怡,109,90,116,75,76,79,545
潘馨月,108,95,101,81,76,84,545
