姓名,语文,数学,英语,物理,化学,生物,总分
李志强,109,108,114,78,94,86,589
王建国,108,98,142,85,90,73,596
张沐阳,111,91,101,78,85,84,550
刘哲羽,105,106,105,101,79,78,574
陈修远,125,116,126,87,90,86,630
杨泽安,127,129,112,101,91,76,636
赵靖尧,98,93,136,78,76,82,563
黄杰,100,90,101,78,89,67,525
周伟明,110,147,142,105,78,70,652
吴嘉豪,98,107,112,84,84,86,571
郑文涛,113,91,106,97,76,80,563
何梓睿,109,110,123,97,79,86,604
徐俊熙,99,90,122,97,76,84,568
孙宏斌,106,90,139,101,88,69,593
胡宇帆,110,107,126,103,88,78,612
郭睿,100,132,106,96,77,80,591
许一墨,98,124,90,78,77,82,549
冯锦程,120,100,121,85,92,86,604
唐逸,117,99,139,89,89,80,613
程明哲,110,104,101,103,94,67,579
董恒,101,147,133,93,90,86,650
曹霖瑜,114,117,137,78,88,81,615
袁启明,115,92,102,78,85,78,550
彭炜钧,104,106,111,78,99,86,584
蔡景瑞,110,108,108,78,87,78,569
潘文轩,102,98,101,104,76,72,553
丁佑,125,141,115,83,76,67,607
贺梓骏,114,107,112,100,86,86,605
曾浩铭,109,101,142,96,88,69,605
沈瑞,130,142,114,91,82,86,645
钟珈铭,112,101,122,105,88,79,607
姜嘉熙,98,90,101,99,76,80,544
谢卓然,102,90,103,83,80,75,533
戴景,114,103,142,90,83,74,606
崔家豪,107,112,124,101,83,86,613
范天成,121,96,108,79,90,86,580
汪昶林,104,125,101,84,84,75,573
邓彦澈,113,92,111,93,81,86,576
邵景瑞,118,110,142,79,89,86,624
余皓,115,147,120,89,81,80,632
吕翊,98,92,101,78,87,74,530
薛泽霖,113,96,121,78,80,77,565
邹铭,104,128,137,89,82,86,626
阎凯,104,105,139,103,76,83,610
魏嘉晟,103,96,117,101,80,82,579
方铭泽,98,90,101,87,83,86,545
贺真,116,112,134,105,84,78,629
李思涵,98,106,136,101,84,86,611
王诗涵,106,145,136,80,78,74,619
张雨彤,101,97,122,95,86,72,573
刘梦瑶,98,93,109,101,76,67,544
陈欣怡,106,108,127,84,76,81,582
杨婉婷,102,147,142,97,80,82,650
赵依,110,110,142,91,80,74,607
黄欣妍,110,142,110,78,89,86,615
周子涵,123,134,111,89,86,77,620
吴清雅,111,116,128,78,92,80,605
郑佳怡,101,90,140,78,87,74,570
何婧怡,102,106,106,80,76,79,549
徐语嫣,132,101,124,89,91,77,614
孙可欣,104,145,102,78,78,85,592
唐雅婷,98,99,101,86,88,80,552
曹若曦,128,147,106,99,78,82,640
蔡嫣,110,146,104,83,83,84,610
丁瑶,106,132,114,101,84,80,617
曾语桐,112,146,142,107,89,78,674
袁怡,104,118,140,78,93,86,619
潘馨月,127,128,142,79,93,77,646
