姓名,语文,数学,英语,物理,化学,生物,总分
李志强,102,101,109,77,94,70,553
王建国,106,110,107,75,76,85,559
张沐阳,98,114,107,81,94,85,579
刘哲羽,105,103,98,75,94,70,545
陈修远,111,96,121,82,82,78,570
杨泽安,103,112,103,75,76,70,539
赵靖尧,104,95,132,75,94,77,577
黄杰,106,105,114,93,94,78,590
周伟明,103,84,105,83,79,70,524
吴嘉豪,114,91,116,81,90,85,577
郑文涛,109,90,102,75,76,70,522
何梓睿,106,113,111,75,92,85,582
徐俊熙,102,96,121,75,91,74,559
孙宏斌,112,108,109,89,81,70,569
胡宇帆,103,109,107,75,94,85,573
郭睿,121,115,99,96,94,85,610
许一墨,104,105,114,75,94,77,569
冯锦程,100,102,108,75,76,85,546
唐逸,104,112,111,75,94,83,579
程明哲,104,86,111,96,94,85,576
董恒,93,91,104,90,76,78,532
曹霖瑜,104,93,123,99,94,85,598
袁启明,111,104,114,75,76,70,550
彭炜钧,106,109,112,88,76,85,576
蔡景瑞,117,86,109,107,94,85,598
潘文轩,109,91,107,102,84,70,563
丁佑,109,97,119,75,94,70,564
贺梓骏,106,105,99,77,76,83,546
曾浩铭,105,113,112,75,76,70,551
沈瑞,98,99,118,90,94,70,569
钟珈铭,109,100,117,77,76,70,549
姜嘉熙,105,119,106,94,94,70,588
谢卓然,100,87,114,84,94,85,564
戴景,109,81,105,107,76,85,563
崔家豪,104,81,102,75,94,70,526
范天成,101,114,102,86,76,84,563
汪昶林,94,95,126,78,94,81,568
邓彦澈,114,92,107,75,89,85,562
邵景瑞,109,102,108,95,94,70,578
余皓,103,103,99,75,94,70,544
吕翊,105,99,120,107,76,85,592
薛泽霖,107,101,116,75,94,70,563
邹铭,114,98,100,84,76,83,555
阎凯,109,96,102,89,94,70,560
魏嘉晟,109,110,105,75,94,70,563
方铭泽,106,104,127,83,76,85,581
贺真,102,112,101,83,76,70,544
李思涵,103,100,109,103,76,85,576
王诗涵,102,106,98,75,76,70,527
张雨彤,111,104,100,96,77,85,573
刘梦瑶,108,93,111,75,94,70,551
陈欣怡,100,97,113,89,76,79,554
杨婉婷,110,112,110,83,91,74,580
赵依,97,92,119,102,76,70,556
黄欣妍,108,103,98,75,76,70,530
周子涵,104,121,111,87,82,78,583
吴清雅,116,115,119,75,94,76,595
郑佳怡,104,100,104,83,94,70,555
何婧怡,104,105,102,76,76,85,548
徐语嫣,115,105,111,86,76,85,578
孙可欣,111,101,112,75,76,70,545
唐雅婷,101,96,106,87,76,85,551
曹若曦,103,100,109,75,76,70,533
蔡嫣,102,121,103,92,94,85,597
丁瑶,105,89,104,92,84,83,557
曾语桐,109,91,102,99,91,85,577
袁怡,112,107,121,75,76,84,575
潘馨月,105,87,105,80,84,85,546
