姓名,语文,数学,英语,物理,化学,生物,总分
李志强,127,119,129,101,86,81,643
王建国,130,121,121,107,92,85,656
张沐阳,101,90,101,78,76,67,513
刘哲羽,98,98,105,101,78,73,553
陈修远,113,147,132,105,91,83,671
杨泽安,123,128,126,101,82,80,640
赵靖尧,98,92,121,80,76,67,534
黄杰,98,90,101,79,77,69,514
周伟明,110,139,132,105,82,72,640
吴嘉豪,103,138,129,102,87,81,640
郑文涛,100,102,134,101,88,82,607
何梓睿,112,112,132,105,92,84,637
徐俊熙,98,90,101,79,76,68,512
孙宏斌,98,90,123,78,76,67,532
胡宇帆,121,117,137,101,94,80,650
郭睿,122,142,125,102,89,80,660
许一墨,106,126,109,78,90,76,585
冯锦程,104,112,124,102,87,79,608
唐逸,134,119,123,91,86,80,633
程明哲,108,106,103,101,84,71,573
董恒,130,127,124,102,93,80,656
曹霖瑜,121,144,132,95,89,78,659
袁启明,99,90,101,79,76,67,512
彭炜钧,120,118,134,97,88,76,633
蔡景瑞,98,144,121,84,89,80,616
潘文轩,100,90,101,97,76,68,532
丁佑,130,129,110,79,82,75,605
贺梓骏,128,110,123,102,84,80,627
曾浩铭,123,112,127,107,82,73,624
沈瑞,129,142,128,100,88,80,667
钟珈铭,114,112,139,98,92,77,632
姜嘉熙,98,92,101,78,76,67,512
谢卓然,102,92,107,82,82,81,546
戴景,121,112,132,100,88,74,627
崔家豪,111,114,114,101,85,76,601
范天成,126,101,122,86,84,73,592
汪昶林,118,132,102,98,82,74,606
邓彦澈,120,93,122,104,81,78,598
邵景瑞,121,120,124,90,79,74,608
余皓,127,117,134,78,78,78,612
吕翊,98,90,101,78,76,67,510
薛泽霖,123,93,132,77,88,76,589
邹铭,125,117,132,79,86,78,617
阎凯,106,101,140,99,76,72,594
魏嘉晟,105,108,117,93,82,68,573
方铭泽,109,96,108,102,92,78,585
贺真,120,137,136,101,80,80,654
李思涵,124,125,121,92,76,81,619
王诗涵,98,135,134,84,86,70,607
张雨彤,131,115,123,82,89,82,622
刘梦瑶,98,91,101,80,76,67,513
陈欣怡,102,94,131,96,78,80,581
杨婉婷,100,141,130,97,76,81,625
赵依,123,122,123,95,91,76,630
黄欣妍,124,137,134,106,84,74,659
周子涵,128,137,123,104,93,82,667
吴清雅,107,128,132,78,86,82,613
郑佳怡,103,90,138,78,91,71,571
何婧怡,100,94,101,78,76,67,516
徐语嫣,123,138,137,93,92,79,662
孙可欣,98,129,101,80,76,80,564
唐雅婷,98,90,101,78,76,69,512
曹若曦,127,145,118,92,90,78,650
蔡嫣,131,123,107,95,92,78,626
丁瑶,108,143,120,92,91,72,626
曾语桐,129,138,130,106,84,73,660
袁怡,98,114,138,88,91,76,605
潘馨月,123,142,140,80,90,84,659
