姓名,语文,数学,英语,物理,化学,生物,总分
李志强,105,114,112,85,89,70,575
王建国,106,117,114,82,82,85,586
张沐阳,90,107,106,76,85,81,545
刘哲羽,105,107,98,75,94,72,551
陈修远,108,97,129,92,82,85,593
杨泽安,103,112,113,85,76,75,564
赵靖尧,102,93,131,77,89,76,568
黄杰,102,103,109,92,92,73,571
周伟明,107,86,105,91,83,72,544
吴嘉豪,107,99,127,80,94,85,592
郑文涛,113,91,102,82,86,81,555
何梓睿,110,124,123,85,84,85,611
徐俊熙,96,100,112,75,87,70,540
孙宏斌,110,108,101,82,76,70,547
胡宇帆,103,122,107,85,94,85,596
郭睿,132,115,110,96,94,85,632
许一墨,104,103,106,79,94,71,557
冯锦程,110,101,111,82,87,73,564
唐逸,112,113,112,80,94,85,596
程明哲,106,81,111,98,94,85,575
董恒,95,102,98,90,85,85,555
曹霖瑜,100,93,123,107,94,85,602
袁启明,105,100,108,75,76,70,534
彭炜钧,109,121,105,96,88,85,604
蔡景瑞,106,99,108,107,87,85,592
潘文轩,101,88,103,97,79,72,540
丁佑,115,99,119,77,94,76,580
贺梓骏,109,108,110,91,81,80,579
曾浩铭,115,113,116,80,83,70,577
沈瑞,110,95,130,100,92,76,603
钟珈铭,120,110,127,80,83,73,593
姜嘉熙,100,112,103,90,91,71,567
谢卓然,94,93,108,84,90,81,550
戴景,116,89,108,107,82,85,587
崔家豪,112,81,106,75,94,70,538
范天成,101,113,109,90,84,85,582
汪昶林,104,102,138,82,94,85,605
邓彦澈,114,88,106,84,94,84,570
邵景瑞,121,101,109,95,90,77,593
余皓,110,116,107,75,94,70,572
吕翊,99,93,113,103,76,83,567
薛泽霖,114,97,116,80,94,82,583
邹铭,114,100,102,96,79,85,576
阎凯,113,94,100,83,94,72,556
魏嘉晟,113,112,105,75,90,70,565
方铭泽,94,103,139,80,87,85,588
贺真,114,123,105,94,76,81,593
李思涵,103,99,110,107,87,84,590
王诗涵,108,106,98,75,76,72,535
张雨彤,111,106,101,106,87,85,596
刘梦瑶,106,91,109,75,93,70,544
陈欣怡,100,91,115,89,76,85,556
杨婉婷,112,110,110,89,89,70,580
赵依,90,88,129,101,76,82,566
黄欣妍,109,111,98,86,82,70,556
周子涵,117,125,112,83,76,81,594
吴清雅,116,109,121,79,94,78,597
郑佳怡,106,102,104,81,86,76,555
何婧怡,99,99,106,75,76,82,537
徐语嫣,104,94,123,93,89,79,582
孙可欣,110,98,102,75,76,70,531
唐雅婷,98,92,102,85,78,79,534
曹若曦,110,104,112,86,88,81,581
蔡嫣,112,133,106,102,91,85,629
丁瑶,117,102,107,95,92,85,598
曾语桐,119,90,112,107,94,85,607
袁怡,106,105,119,75,80,80,565
潘馨月,116,86,105,81,76,80,544
