姓名,语文,数学,英语,物理,化学,生物,总分
李志强,107,108,107,79,94,70,565
王建国,100,112,112,75,76,85,560
张沐阳,95,110,104,79,89,84,561
刘哲羽,101,105,100,77,90,70,543
陈修远,113,91,127,87,77,83,578
杨泽安,97,107,108,80,76,70,538
赵靖尧,103,94,129,75,90,74,565
黄杰,105,102,112,91,91,77,578
周伟明,105,82,103,87,81,70,528
吴嘉豪,112,93,122,75,94,85,581
郑文涛,115,97,100,75,81,75,543
何梓睿,112,119,117,80,86,85,599
徐俊熙,99,98,116,75,88,71,547
孙宏斌,111,110,104,86,77,70,558
胡宇帆,109,116,109,80,94,80,588
郭睿,126,110,104,101,89,85,615
许一墨,106,101,110,77,92,75,561
冯锦程,105,107,106,77,82,79,556
唐逸,106,107,105,75,94,85,572
程明哲,102,84,109,100,94,85,574
董恒,90,96,98,85,78,83,530
曹霖瑜,98,99,125,105,89,80,596
袁启明,106,101,111,75,78,70,541
彭炜钧,104,116,107,90,81,83,581
蔡景瑞,111,93,103,107,92,83,589
潘文轩,105,87,104,100,80,70,546
丁佑,111,101,115,79,94,72,572
贺梓骏,111,103,104,84,76,85,563
曾浩铭,110,108,118,75,76,70,557
沈瑞,104,101,124,95,94,70,588
钟珈铭,115,105,122,75,78,75,570
姜嘉熙,103,115,105,91,94,70,578
谢卓然,96,91,110,80,94,85,556
戴景,111,83,103,101,76,85,559
崔家豪,108,83,104,75,94,70,534
范天成,106,119,104,92,82,85,588
汪昶林,99,97,132,76,94,83,581
邓彦澈,119,90,112,77,94,79,571
邵景瑞,115,96,103,97,88,72,571
余皓,105,110,101,80,94,72,562
吕翊,101,96,117,104,78,85,581
薛泽霖,109,99,111,82,94,77,572
邹铭,108,93,107,89,81,85,563
阎凯,111,98,104,85,94,74,566
魏嘉晟,111,114,103,77,92,70,567
方铭泽,100,109,133,78,81,79,580
贺真,107,117,98,89,81,75,567
李思涵,101,105,104,107,81,79,577
王诗涵,104,108,100,77,78,70,537
张雨彤,116,99,106,101,82,85,589
刘梦瑶,110,90,113,75,91,70,549
陈欣怡,102,93,117,87,76,83,558
杨婉婷,108,108,112,87,93,70,578
赵依,95,90,124,107,81,76,573
黄欣妍,102,109,98,81,76,76,542
周子涵,111,127,106,89,77,83,593
吴清雅,114,111,123,75,92,74,589
郑佳怡,102,104,106,85,90,72,559
何婧怡,102,102,104,75,76,85,544
徐语嫣,109,99,117,88,82,85,580
孙可欣,108,100,107,75,76,70,536
唐雅婷,99,95,103,83,76,83,539
曹若曦,108,106,107,80,81,76,558
蔡嫣,107,126,101,97,89,85,605
丁瑶,111,96,102,97,86,85,577
曾语桐,114,85,107,105,94,85,590
袁怡,108,109,123,75,76,82,573
潘馨月,110,81,103,86,82,85,547
