姓名,语文,数学,英语,物理,化学,生物,总分
李志强,110,128,111,90,91,86,616
王建国,113,111,138,102,90,80,634
张沐阳,104,90,101,78,84,73,530
刘哲羽,99,108,109,103,79,70,568
陈修远,120,131,137,103,87,72,650
杨泽安,132,134,117,105,92,80,660
赵靖尧,99,90,133,78,76,76,552
黄杰,98,90,103,78,82,67,518
周伟明,108,145,136,105,82,72,648
吴嘉豪,105,126,119,101,85,81,617
郑文涛,119,96,122,105,89,81,612
何梓睿,107,117,139,106,84,80,633
徐俊熙,98,90,116,93,76,79,552
孙宏斌,103,90,135,91,85,69,573
胡宇帆,124,109,120,105,90,83,631
郭睿,109,127,101,107,85,84,613
许一墨,98,122,105,86,80,84,575
冯锦程,131,106,115,99,88,79,618
唐逸,128,119,141,83,98,74,643
程明哲,106,98,101,99,84,69,557
董恒,99,147,137,101,85,82,651
曹霖瑜,122,133,138,95,91,72,651
袁启明,105,90,101,78,77,68,519
彭炜钧,104,107,116,88,81,81,577
蔡景瑞,102,124,112,85,83,72,578
潘文轩,98,90,101,105,80,67,541
丁佑,129,129,113,85,76,71,603
贺梓骏,127,114,118,99,81,81,620
曾浩铭,120,103,140,89,92,85,629
沈瑞,132,147,123,107,91,75,675
钟珈铭,107,107,127,83,84,73,581
姜嘉熙,98,90,102,89,76,76,531
谢卓然,98,90,101,78,84,77,528
戴景,108,109,140,105,82,82,626
崔家豪,109,116,120,97,85,78,605
范天成,132,90,117,78,92,82,591
汪昶林,117,123,107,100,84,84,615
邓彦澈,115,91,114,81,89,74,564
邵景瑞,115,117,128,97,83,73,613
余皓,122,142,140,87,90,78,659
吕翊,98,90,102,78,88,75,531
薛泽霖,118,95,127,83,84,76,583
邹铭,123,136,132,90,85,81,647
阎凯,100,107,137,99,78,82,603
魏嘉晟,105,102,121,105,82,72,587
方铭泽,98,96,108,91,83,79,555
贺真,115,119,138,87,90,82,631
李思涵,115,119,141,105,82,81,643
王诗涵,100,147,123,84,76,72,602
张雨彤,119,103,135,96,81,82,616
刘梦瑶,98,90,106,92,76,67,529
陈欣怡,98,104,125,87,76,83,573
杨婉婷,106,147,140,91,78,8,570
赵依,116,118,132,95,88,72,621
黄欣妍,128,147,122,90,90,84,661
周子涵,132,133,108,97,82,78,630
吴清雅,113,116,124,78,88,76,595
郑佳怡,101,90,127,80,89,71,558
何婧怡,98,95,101,78,76,73,521
徐语嫣,132,113,127,103,93,85,653
孙可欣,98,134,101,78,78,76,565
唐雅婷,98,96,101,107,79,77,558
曹若曦,122,147,122,105,90,70,656
蔡嫣,115,147,106,92,81,71,612
丁瑶,111,136,123,102,80,71,623
曾语桐,127,147,126,101,83,77,661
袁怡,100,116,131,79,90,79,595
潘馨月,132,137,133,81,95,81,659
