姓名,语文,数学,英语,物理,化学,生物,总分
李志强,126,147,142,105,93,86,699
王建国,132,145,134,107,94,82,694
张沐阳,98,90,101,78,76,67,510
刘哲羽,104,100,101,105,78,69,557
陈修远,132,142,142,95,92,75,678
杨泽安,132,147,142,107,83,84,695
赵靖尧,98,90,109,78,76,67,518
黄杰,98,90,101,78,77,67,511
周伟明,102,137,132,81,78,68,598
吴嘉豪,132,147,142,107,94,86,708
郑文涛,107,133,142,107,94,80,663
何梓睿,114,129,132,101,94,86,656
徐俊熙,98,90,101,78,77,67,511
孙宏斌,98,90,103,78,76,68,513
胡宇帆,132,147,142,106,89,86,702
郭睿,132,144,141,107,94,86,704
许一墨,108,132,105,78,78,82,583
冯锦程,132,147,142,107,94,86,708
唐逸,132,147,137,107,94,85,702
程明哲,98,94,107,107,94,69,569
董恒,127,140,142,106,94,86,695
曹霖瑜,132,147,137,107,94,84,701
袁启明,100,90,101,78,76,69,514
彭炜钧,130,147,136,89,94,86,682
蔡景瑞,121,147,142,99,94,83,686
潘文轩,98,90,103,78,76,67,512
丁佑,132,139,103,89,82,75,620
贺梓骏,128,142,142,107,89,82,690
曾浩铭,127,147,142,106,94,86,702
沈瑞,117,147,138,107,88,86,683
钟珈铭,132,147,137,107,94,84,701
姜嘉熙,101,96,101,78,76,67,519
谢卓然,124,92,111,86,80,72,565
戴景,132,145,142,107,78,86,690
崔家豪,113,124,106,95,88,69,595
范天成,121,147,142,107,94,86,697
汪昶林,132,142,136,107,83,86,686
邓彦澈,132,109,136,104,94,86,661
邵景瑞,132,145,142,107,92,86,704
余皓,132,144,141,102,94,84,697
吕翊,100,90,101,78,76,69,514
薛泽霖,127,128,142,107,92,86,682
邹铭,127,142,142,103,94,84,692
阎凯,120,99,142,79,86,78,604
魏嘉晟,114,108,111,107,86,71,597
方铭泽,132,120,136,107,94,86,675
贺真,132,147,142,107,94,72,694
李思涵,132,142,136,95,94,84,683
王诗涵,102,129,130,90,82,71,604
张雨彤,132,128,142,95,94,81,672
刘梦瑶,100,90,101,78,76,69,514
陈欣怡,100,108,137,102,76,80,603
杨婉婷,108,135,114,91,76,86,610
赵依,132,146,142,95,94,71,680
黄欣妍,132,137,142,102,85,86,684
周子涵,124,142,130,102,90,86,674
吴清雅,106,124,140,92,92,86,640
郑佳怡,105,92,138,78,89,75,577
何婧怡,98,90,101,78,76,67,510
徐语嫣,132,138,136,107,94,84,691
孙可欣,98,109,101,78,76,67,529
唐雅婷,98,90,101,78,78,67,512
曹若曦,132,145,138,107,81,86,689
蔡嫣,132,140,140,94,94,85,685
丁瑶,130,147,136,95,92,86,686
曾语桐,132,147,137,107,94,68,685
袁怡,110,132,128,84,88,75,617
潘馨月,132,147,142,93,88,86,688
