姓名,语文,数学,英语,物理,化学,生物,总分
李志强,117,102,98,75,87,86,565
王建国,108,119,136,81,76,86,606
张沐阳,103,93,98,82,93,83,552
刘哲羽,102,85,115,85,94,85,566
陈修远,96,118,107,106,81,76,584
杨泽安,110,121,119,88,94,85,617
赵靖尧,96,94,98,76,76,77,517
黄杰,102,99,101,75,81,85,543
周伟明,93,81,111,96,76,84,541
吴嘉豪,100,102,125,85,78,84,574
郑文涛,111,99,118,87,86,86,587
何梓睿,112,131,105,86,94,79,607
徐俊熙,99,96,98,102,77,77,549
孙宏斌,101,110,98,75,76,74,534
胡宇帆,122,118,132,87,88,76,623
郭睿,112,123,125,98,94,81,633
许一墨,102,91,99,81,84,78,535
冯锦程,116,113,110,80,94,76,589
唐逸,97,92,110,105,85,81,570
程明哲,123,101,98,98,92,72,584
董恒,103,120,120,87,94,86,610
曹霖瑜,114,111,126,101,94,67,613
袁启明,92,99,108,85,76,73,533
彭炜钧,116,95,100,90,76,80,557
蔡景瑞,110,103,117,80,76,78,564
潘文轩,100,95,100,81,82,69,527
丁佑,107,87,107,84,94,84,563
贺梓骏,113,119,120,97,94,86,629
曾浩铭,116,104,120,86,94,84,604
沈瑞,120,92,132,92,89,86,611
钟珈铭,114,107,127,97,94,86,625
姜嘉熙,104,92,104,81,92,74,547
谢卓然,102,88,109,103,86,75,563
戴景,129,81,125,86,83,81,585
崔家豪,107,122,104,75,80,79,567
范天成,106,92,120,82,92,86,578
汪昶林,115,116,125,107,94,86,643
邓彦澈,100,124,142,75,89,86,616
邵景瑞,100,106,122,83,94,86,591
余皓,103,100,98,75,94,86,556
吕翊,94,84,98,87,76,73,512
薛泽霖,113,100,108,80,83,86,570
邹铭,121,113,110,82,94,81,601
阎凯,109,96,121,91,90,85,592
魏嘉晟,98,113,108,89,90,77,575
方铭泽,124,117,115,75,94,85,610
贺真,115,101,107,85,94,86,588
李思涵,110,108,109,85,76,86,574
王诗涵,115,91,118,83,89,73,569
张雨彤,100,87,133,77,94,86,577
刘梦瑶,104,103,111,75,93,72,558
陈欣怡,114,102,126,79,80,86,587
杨婉婷,119,106,114,75,90,64,568
赵依,104,94,105,86,94,78,561
黄欣妍,112,106,108,107,94,86,613
周子涵,119,96,122,86,84,79,586
吴清雅,103,105,98,75,76,62,519
郑佳怡,110,103,105,96,77,84,575
何婧怡,106,81,108,94,76,73,538
徐语嫣,124,86,108,85,81,80,564
孙可欣,105,98,103,76,89,74,545
唐雅婷,104,86,104,89,90,72,545
曹若曦,110,101,108,81,82,76,558
蔡嫣,108,93,120,105,76,84,586
丁瑶,102,98,118,79,87,74,558
曾语桐,115,102,139,103,94,86,639
袁怡,105,88,114,75,76,79,537
潘馨月,121,94,103,81,89,86,574
