姓名,语文,数学,英语,物理,化学,生物,总分
李志强,116,123,117,92,90,81,619
王建国,130,120,140,105,83,82,660
张沐阳,101,90,101,78,76,67,513
刘哲羽,100,106,105,101,76,67,555
陈修远,123,147,131,90,85,83,659
杨泽安,127,140,126,90,93,81,657
赵靖尧,98,92,121,78,77,67,533
黄杰,103,90,101,78,76,67,515
周伟明,112,143,138,101,80,78,652
吴嘉豪,100,138,136,95,87,84,640
郑文涛,107,105,123,105,93,80,613
何梓睿,111,112,132,97,93,82,627
徐俊熙,98,92,103,84,76,67,520
孙宏斌,98,90,130,83,77,67,545
胡宇帆,131,107,138,93,97,81,647
郭睿,118,140,118,90,87,81,634
许一墨,102,126,110,84,90,82,594
冯锦程,123,113,124,90,94,80,624
唐逸,126,120,130,95,94,69,634
程明哲,110,100,107,103,84,67,571
董恒,118,147,132,89,82,80,648
曹霖瑜,127,141,141,99,90,77,675
袁启明,98,90,101,78,76,67,510
彭炜钧,107,121,122,97,91,80,618
蔡景瑞,104,132,117,92,89,69,603
潘文轩,99,90,101,97,76,67,530
丁佑,130,129,105,79,76,75,594
贺梓骏,115,121,135,101,87,86,645
曾浩铭,126,101,123,105,87,80,622
沈瑞,119,147,141,87,79,87,660
钟珈铭,102,101,139,88,83,79,592
姜嘉熙,98,90,101,80,76,67,512
谢卓然,98,90,107,82,82,73,532
戴景,110,111,132,101,92,83,629
崔家豪,111,114,114,93,81,78,591
范天成,129,90,122,86,89,81,597
汪昶林,129,132,102,103,87,80,633
邓彦澈,110,100,119,100,92,84,605
邵景瑞,109,121,110,102,86,80,608
余皓,127,147,128,82,86,81,651
吕翊,98,92,105,78,78,67,518
薛泽霖,124,101,127,102,83,82,619
邹铭,111,143,130,104,85,83,656
阎凯,102,101,140,97,78,74,592
魏嘉晟,107,110,117,105,76,68,583
方铭泽,109,104,100,105,84,81,583
贺真,130,137,137,105,92,79,680
李思涵,112,114,131,100,76,78,611
王诗涵,102,141,138,90,79,68,618
张雨彤,118,111,131,90,92,75,617
刘梦瑶,100,90,101,84,76,67,518
陈欣怡,98,100,129,96,78,80,581
杨婉婷,108,147,130,91,76,81,633
赵依,121,122,132,101,93,82,651
黄欣妍,126,147,140,95,84,74,666
周子涵,121,127,112,96,84,74,614
吴清雅,105,120,128,84,92,76,605
郑佳怡,103,90,140,78,85,71,567
何婧怡,98,90,101,78,76,67,510
徐语嫣,123,129,137,98,90,83,660
孙可欣,98,134,102,78,76,82,570
唐雅婷,101,93,101,78,76,71,520
曹若曦,124,147,119,106,91,81,668
蔡嫣,129,147,101,93,87,80,637
丁瑶,106,147,139,103,92,69,656
曾语桐,126,145,136,9,80,80,576
袁怡,98,114,140,82,88,76,598
潘馨月,122,147,142,79,83,85,658
