姓名,语文,数学,英语,物理,化学,生物,总分
李志强,111,119,117,90,94,70,601
王建国,101,115,109,84,89,80,578
张沐阳,92,103,108,75,87,77,542
刘哲羽,103,103,102,75,92,70,545
陈修远,115,102,123,98,80,83,601
杨泽安,108,117,118,80,76,80,579
赵靖尧,101,90,130,75,85,78,559
黄杰,98,101,108,89,91,70,557
周伟明,103,84,107,95,79,74,542
吴嘉豪,101,105,133,75,94,85,593
郑文涛,118,96,108,87,91,75,575
何梓睿,104,122,117,90,90,85,608
徐俊熙,94,98,108,75,83,70,528
孙宏斌,106,104,98,80,76,70,534
胡宇帆,105,128,113,83,88,85,602
郭睿,132,121,104,98,94,85,634
许一墨,102,99,110,83,90,73,557
冯锦程,115,99,118,88,92,70,582
唐逸,106,107,118,85,89,85,590
程明哲,102,85,115,96,94,85,577
董恒,100,109,103,96,91,85,584
曹霖瑜,95,88,121,107,94,85,590
袁启明,104,97,107,75,76,70,529
彭炜钧,114,116,99,103,93,85,610
蔡景瑞,111,93,102,107,92,79,584
潘文轩,98,85,100,96,76,70,525
丁佑,113,97,121,75,90,78,574
贺梓骏,104,113,116,96,87,85,601
曾浩铭,117,118,122,85,88,76,606
沈瑞,115,101,135,107,94,81,633
钟珈铭,127,116,133,85,88,79,628
姜嘉熙,97,114,101,91,87,70,560
谢卓然,98,97,112,88,86,77,558
戴景,114,94,106,102,76,85,577
崔家豪,116,81,102,77,92,70,538
范天成,103,108,111,84,90,85,581
汪昶林,106,108,132,88,92,85,611
邓彦澈,119,86,104,86,94,85,574
邵景瑞,127,95,111,100,85,72,590
余皓,108,121,113,80,94,77,593
吕翊,96,92,112,99,76,79,554
薛泽霖,112,102,123,82,94,85,598
邹铭,121,105,107,101,76,79,589
阎凯,115,96,102,81,94,74,562
魏嘉晟,109,114,107,79,92,70,571
方铭泽,99,108,142,87,93,80,609
贺真,116,129,110,89,83,76,603
李思涵,98,93,115,102,82,85,575
王诗涵,106,110,102,79,78,74,549
张雨彤,118,111,106,107,89,85,616
刘梦瑶,105,89,105,75,89,70,533
陈欣怡,98,95,111,91,76,83,554
杨婉婷,108,112,112,87,87,70,576
赵依,97,86,136,107,76,85,587
黄欣妍,107,118,104,92,87,70,578
周子涵,111,130,114,81,83,75,594
吴清雅,118,113,117,75,94,80,597
郑佳怡,102,106,102,85,82,78,555
何婧怡,95,97,102,75,76,79,524
徐语嫣,102,101,130,87,84,85,589
孙可欣,107,95,100,75,76,70,523
唐雅婷,100,93,99,84,77,76,529
曹若曦,116,109,107,92,93,83,600
蔡嫣,118,139,112,100,94,85,648
丁瑶,124,107,113,101,94,79,618
曾语桐,125,88,117,107,94,85,616
袁怡,104,107,121,79,82,78,571
潘馨月,122,81,107,87,76,82,555
