姓名,语文,数学,英语,物理,化学,生物,总分
李志强,98,108,101,78,94,82,561
王建国,98,102,142,78,89,69,578
张沐阳,110,93,101,78,94,81,557
刘哲羽,105,100,101,108,85,76,575
陈修远,126,104,127,86,94,81,618
杨泽安,117,125,101,101,94,81,619
赵靖尧,103,96,132,78,76,82,567
黄杰,107,90,101,78,94,72,542
周伟明,110,137,141,100,78,72,638
吴嘉豪,98,106,101,87,83,81,556
郑文涛,102,90,101,99,79,80,551
何梓睿,98,110,111,97,89,81,586
徐俊熙,105,90,127,97,76,83,578
孙宏斌,106,90,132,96,91,69,584
胡宇帆,98,96,115,95,90,67,561
郭睿,110,122,103,92,76,86,589
许一墨,98,122,101,80,77,86,564
冯锦程,110,100,129,78,88,81,586
唐逸,116,96,137,82,76,83,590
程明哲,110,112,101,92,88,74,577
董恒,100,127,121,93,76,82,599
曹霖瑜,104,107,127,85,76,69,568
袁启明,120,90,101,78,91,81,561
彭炜钧,98,105,101,78,94,80,556
蔡景瑞,107,108,101,78,94,68,556
潘文轩,98,95,101,107,76,76,553
丁佑,121,117,111,83,77,67,576
贺梓骏,111,97,101,89,94,85,577
曾浩铭,108,101,127,95,76,67,574
沈瑞,119,131,114,90,94,84,632
钟珈铭,110,90,122,91,85,67,565
姜嘉熙,101,90,101,89,79,79,539
谢卓然,100,90,101,91,76,71,529
戴景,103,98,135,78,94,67,575
崔家豪,103,114,116,86,79,90,588
范天成,110,90,101,78,94,,473
汪昶林,98,118,101,78,94,87,576
邓彦澈,101,103,101,83,94,76,558
邵景瑞,105,102,128,78,76,80,569
余皓,118,117,128,78,76,81,598
吕翊,102,90,101,78,94,82,547
薛泽霖,114,104,110,78,94,67,567
邹铭,103,125,131,82,94,82,617
阎凯,104,107,139,80,76,83,589
魏嘉晟,105,104,119,105,76,83,592
方铭泽,108,90,101,81,94,78,552
贺真,117,102,134,80,76,67,576
李思涵,108,103,130,84,76,81,582
王诗涵,98,139,129,78,78,78,600
张雨彤,104,93,123,95,76,73,564
刘梦瑶,98,100,116,102,76,68,560
陈欣怡,98,108,129,78,76,83,572
杨婉婷,99,107,132,97,82,78,595
赵依,118,110,140,78,94,67,607
黄欣妍,100,131,101,78,76,79,565
周子涵,110,123,101,78,93,67,572
吴清雅,115,112,136,78,94,80,615
郑佳怡,101,90,132,79,87,70,559
何婧怡,107,106,113,78,76,80,560
徐语嫣,127,90,125,78,83,73,576
孙可欣,108,127,101,78,76,80,570
唐雅婷,98,106,101,85,94,81,565
曹若曦,115,117,117,107,76,80,612
蔡嫣,100,132,101,78,76,81,568
丁瑶,106,129,117,105,77,68,602
曾语桐,102,132,139,99,76,67,615
袁怡,110,118,137,78,93,86,622
潘馨月,131,120,132,78,82,67,610
