姓名,语文,数学,英语,物理,化学,生物,总分
李志强,117,123,116,97,92,81,626
王建国,118,117,140,107,94,85,661
张沐阳,100,90,101,79,81,70,521
刘哲羽,98,110,113,101,76,68,566
陈修远,115,137,121,107,93,81,654
杨泽安,132,140,122,107,94,85,680
赵靖尧,98,90,129,80,78,71,546
黄杰,100,90,101,78,79,67,515
周伟明,112,147,138,107,84,76,664
吴嘉豪,110,133,125,95,79,80,622
郑文涛,114,101,116,107,94,83,615
何梓睿,112,112,123,107,82,84,620
徐俊熙,100,90,112,90,76,75,543
孙宏斌,98,90,134,89,84,67,562
胡宇帆,131,114,127,107,89,81,649
郭睿,111,132,106,102,87,79,617
许一墨,98,124,103,84,82,80,571
冯锦程,132,101,121,105,94,81,634
唐逸,132,124,132,81,94,69,632
程明哲,108,94,105,103,82,71,563
董恒,106,141,136,107,79,78,647
曹霖瑜,127,139,121,100,94,67,648
袁启明,101,90,101,78,76,67,513
彭炜钧,99,109,121,86,94,84,593
蔡景瑞,104,129,106,80,94,70,583
潘文轩,98,90,103,101,77,67,536
丁佑,131,133,109,87,76,73,609
贺梓骏,132,121,123,106,86,75,643
曾浩铭,125,101,138,107,94,70,635
沈瑞,132,147,128,107,94,76,684
钟珈铭,112,112,125,107,94,79,629
姜嘉熙,98,90,101,86,76,73,524
谢卓然,98,90,105,80,82,81,536
戴景,102,115,138,107,94,76,632
崔家豪,111,114,116,93,81,80,595
范天成,127,95,122,83,86,77,590
汪昶林,124,140,102,107,94,78,645
邓彦澈,110,90,119,107,94,84,604
邵景瑞,117,122,127,104,94,81,645
余皓,127,140,135,92,84,79,657
吕翊,98,90,101,78,85,72,524
薛泽霖,123,90,134,90,94,82,613
邹铭,118,130,132,107,89,79,655
阎凯,98,109,141,101,76,78,603
魏嘉晟,107,106,117,107,78,74,589
方铭泽,98,101,110,107,81,81,578
贺真,120,124,131,107,94,82,658
李思涵,110,114,132,107,80,80,623
王诗涵,98,147,137,86,80,74,622
张雨彤,114,98,129,101,89,87,618
刘梦瑶,98,92,101,91,76,67,525
陈欣怡,102,106,129,96,76,84,593
杨婉婷,108,147,136,89,76,80,636
赵依,111,123,128,100,86,79,627
黄欣妍,132,147,128,95,84,81,667
周子涵,127,139,102,95,89,73,625
吴清雅,109,114,120,80,90,74,587
郑佳怡,103,94,140,82,85,69,573
何婧怡,100,96,101,78,76,70,521
徐语嫣,132,119,134,101,89,79,654
孙可欣,98,133,101,78,76,85,571
唐雅婷,100,92,101,85,77,73,528
曹若曦,124,145,120,107,94,71,661
蔡嫣,117,147,101,98,86,84,633
丁瑶,106,142,128,104,85,77,642
曾语桐,121,147,136,106,88,80,678
袁怡,98,114,126,84,88,82,592
潘馨月,127,143,139,78,94,75,656
