姓名,语文,数学,英语,物理,化学,生物,总分
李志强,121,125,122,107,92,86,653
王建国,124,126,138,101,91,80,660
张沐阳,100,90,102,78,76,67,513
刘哲羽,98,102,107,97,80,69,553
陈修远,129,147,142,100,92,84,694
杨泽安,129,134,128,100,88,82,661
赵靖尧,98,90,120,78,76,67,529
黄杰,101,91,101,78,76,67,514
周伟明,108,141,134,103,78,76,640
吴嘉豪,98,133,138,100,92,83,644
郑文涛,105,100,128,102,93,82,610
何梓睿,106,118,136,102,90,81,633
徐俊熙,100,90,101,83,77,69,520
孙宏斌,98,90,127,79,76,67,537
胡宇帆,123,112,132,98,92,75,632
郭睿,124,147,123,99,92,80,665
许一墨,104,124,111,80,93,80,592
冯锦程,123,118,129,92,89,81,632
唐逸,130,114,136,89,87,74,630
程明哲,112,104,105,105,88,67,581
董恒,125,147,137,105,88,83,685
曹霖瑜,127,139,142,101,83,79,671
袁启明,98,90,101,78,76,67,510
彭炜钧,113,123,128,92,81,84,621
蔡景瑞,99,137,123,99,83,75,616
潘文轩,98,90,101,99,78,67,533
丁佑,121,127,103,81,78,73,583
贺梓骏,131,115,140,96,93,79,654
曾浩铭,123,106,141,94,84,75,623
沈瑞,129,147,127,92,87,76,658
钟珈铭,108,107,137,105,90,84,631
姜嘉熙,98,90,101,79,76,67,511
谢卓然,100,90,105,80,80,77,532
戴景,115,118,140,95,90,85,643
崔家豪,113,110,116,97,83,74,593
范天成,119,95,127,81,83,81,586
汪昶林,123,138,107,95,83,81,627
邓彦澈,115,98,124,102,89,78,606
邵景瑞,116,126,137,96,80,76,631
余皓,118,147,136,78,85,80,644
吕翊,98,90,102,78,76,67,511
薛泽霖,118,99,135,100,90,74,616
邹铭,118,147,140,99,91,73,668
阎凯,104,99,136,95,80,76,590
魏嘉晟,103,112,121,90,80,70,576
方铭泽,114,102,113,100,90,76,595
贺真,125,131,129,89,90,78,642
李思涵,117,120,140,102,81,75,635
王诗涵,100,139,136,86,84,72,617
张雨彤,124,117,128,88,87,81,625
刘梦瑶,99,90,101,81,76,67,514
陈欣怡,98,96,133,84,76,84,571
杨婉婷,104,145,128,95,76,74,622
赵依,126,127,132,101,91,81,658
黄欣妍,128,147,133,100,89,79,676
周子涵,123,132,117,102,90,81,645
吴清雅,103,124,130,80,90,78,605
郑佳怡,107,92,136,78,87,67,567
何婧怡,98,92,101,78,76,67,512
徐语嫣,124,136,132,88,87,76,643
孙可欣,100,133,101,78,76,81,569
唐雅婷,98,90,101,78,76,70,513
曹若曦,129,147,124,83,88,83,654
蔡嫣,124,140,101,101,83,85,634
丁瑶,101,145,137,98,84,67,632
曾语桐,124,143,137,101,78,75,658
袁怡,98,112,136,84,92,78,600
潘馨月,123,147,131,85,82,81,649
